,avg
litecoin,0.5559800052110359
martexcoin,0.5525879898147977
dentacoin,0.5511150296151585
playercoin,0.5483147965362114
pesetacoin,0.5477230902020944
teslacoin,0.5476932626796615
blazercoin,0.5474503896065871
leviarcoin,0.546347266718298
solarcoin,0.5437637629896784
spreadcoin,0.5437005796582309
masternodecoin,0.5429298209924516
siacoin,0.5413487043591131
faircoin,0.5406426050993638
britcoin,0.5404841069242416
smartcoin,0.5403013071057836
zetacoin,0.5402819566974085
virtualcoin,0.5395800841004538
vericoin,0.5388652182350204
marscoin,0.5386315134711812
leacoin,0.5385093696611163
magnetcoin,0.5382384933488745
incakoin,0.5372049623381332
megacoin,0.5371608269160956
supercoin,0.5358324565989563
zeitcoin,0.535615730585555
groestlcoin,0.5346734802289913
sterlingcoin,0.5343439479326485
creativecoin,0.5339697434440276
stealthcoin,0.533894624218897
blakecoin,0.5334607219935428
bridgecoin,0.5334108390913831
mintcoin,0.5331486402897617
eroscoin,0.5331314811038632
transfercoin,0.5330467145186605
zilbercoin,0.5328828980934683
minexcoin,0.5327334571495147
vertcoin,0.5327333747930498
natcoin,0.5324290853224615
terracoin,0.5313735790313919
spectrecoin,0.5311776519204197
pioneer coin,0.5310298409836062
scorecoin,0.5306754879039609
monacoin,0.5300884868408615
feathercoin,0.5299396432207741
curecoin,0.5296904276820498
noblecoin,0.529621411037527
smileycoin,0.5295947173129016
fastcoin,0.529201875570955
viacoin,0.5291064254157889
triaconta,0.5283303995150666
eurocoin,0.5277173211382743
fedoracoin,0.5272203242838358
peercoin,0.5267631163880088
emercoin,0.5267242232023348
eaglecoin,0.5266618031811721
novacoin,0.5264984533976089
russiacoin,0.5262224821744039
bluecoin,0.5259083273944979
europecoin,0.5257555992295966
toacoin,0.5243060910444577
geysercoin,0.5242477000611281
decision token,0.5241534853603392
bitcoin,0.523756378853466
virtacoinplus,0.5237499081666972
energycoin,0.5233059249617861
bytecoin,0.5231061079263161
maidsafecoin,0.5230612337851477
votecoin,0.5225962144381616
audiocoin,0.5220694311511731
sacoin,0.5213846593538694
litecoin plus,0.5208813201896916
intensecoin,0.5208295762305167
grimcoin,0.5206491488664406
capricoin,0.5197840561810492
soilcoin,0.5195769613211073
machinecoin,0.5192789513238371
kronecoin,0.5189899064712399
carboncoin,0.518636126914472
gridcoin,0.5182805783403032
steneum coin,0.5181653393980965
postcoin,0.5178220727071616
arcticcoin,0.5174477560704275
eltcoin,0.5164385631823815
bitcoin planet,0.5158775488229772
sagacoin,0.5155199072557163
popularcoin,0.5154542352405896
glasscoin,0.5151364932367525
basic attention token,0.5149092973579592
campuscoin,0.5148840542429035
namocoin,0.5145599340731783
aquariuscoin,0.5142604677152834
amsterdamcoin,0.513908290235735
social send,0.5132989308541054
cheapcoin,0.5122223828958687
iot chain,0.5122035015214886
phoenixcoin,0.5120491682760261
joulecoin,0.5120350747117823
chancoin,0.5119161213475827
bitconnect,0.5117828118536096
nav coin,0.5117469859971396
ea coin,0.5117380580585442
coinlancer,0.5117334112991525
musicoin,0.5117224677683455
pinkcoin,0.5115521458535001
binance coin,0.5109743788868868
pluscoin,0.5106803407966096
appcoins,0.5106469274015816
globalcoin,0.5105911162358546
catcoin,0.5102096324560083
sibcoin,0.5092770402165019
tierion,0.5091086905951391
chaincoin,0.5086785721675783
cloakcoin,0.5086493421217827
influxcoin,0.5083532746639169
fluttercoin,0.508176843558383
fargocoin,0.5080486065053652
dogecoin,0.5080033762910007
trollcoin,0.5079985288354195
florincoin,0.5074873417305455
canyacoin,0.5072136069791644
mustangcoin,0.5062975075213629
bitcoin scrypt,0.506187939775976
rsgpcoin,0.5059405349455505
donationcoin,0.5059197876631611
boscoin,0.5051859263478945
digital money bits,0.5049315264050293
leocoin,0.5047207241953858
bitcoin cash,0.504384978513321
monetaryunit,0.5042899686720641
sexcoin,0.5039511191840343
htmlcoin,0.5037682400066067
hempcoin,0.5036545496457767
simple token,0.5036442460649826
super bitcoin,0.5034808540785061
nolimitcoin,0.5030212379712167
billionaire token,0.5024633687402273
evil coin,0.5024140123330224
reddcoin,0.5015123328898078
bitasean,0.5014907101615799
storjcoin x,0.5008744346466639
open trading network,0.5007257373621593
iticoin,0.5005452799684542
cachecoin,0.5003634007299811
growers international,0.5001088506535872
cannabiscoin,0.49993659168480226
digitalcoin,0.49979173620051615
nyancoin,0.49974446210553236
pascal coin,0.49974431504918676
micromoney,0.49956578872103524
fincoin,0.4994569438120065
litebitcoin,0.49937426363915677
anoncoin,0.49926674715211405
echolink,0.49923851122979684
greencoin,0.4986931146878503
dragonchain,0.49796494690569615
rubycoin,0.4976962633940956
electroneum,0.49759988861381466
neutron,0.497547183522123
plncoin,0.4968962033654134
interstellar holdings,0.4968316884474217
bitcoin diamond,0.49676352632592863
truckcoin,0.4967216550035585
aidos kuneen,0.4964200997072294
bitcoin plus,0.49638938478665573
accelerator network,0.49622076404891696
halloween coin,0.49571479101088095
hicoin,0.495633557613384
raiden network token,0.4956039270420309
ripio credit network,0.49545654839837744
madcoin,0.49538956825036057
pakcoin,0.49484955459881563
boostcoin,0.49483493954100044
jin coin,0.4946417035357439
bitcoin gold,0.494017974053967
universal currency,0.4938968710625848
zurcoin,0.49376343028990705
latoken,0.49344633290214945
einsteinium,0.49311765073247393
cryptonite,0.49296753609560057
bitserial,0.49240136533949846
coinonat,0.4921340842640334
paccoin,0.49210081109721177
exclusivecoin,0.49202272870066527
thegcccoin,0.4916773275439081
cartaxi token,0.4913618430867168
cannacoin,0.491100797608321
atmchain,0.49005867454128677
e-coin,0.4899847911493753
sirin labs token,0.4894299065804945
bitcore,0.489272794133923
counterparty,0.48915137256493985
tittiecoin,0.4887965170801968
starcash network,0.48768111823458676
agoras tokens,0.4870481260393122
bittokens,0.48659866639735483
spankchain,0.48657976258761365
huncoin,0.48618712804474834
guncoin,0.48604707107604683
united bitcoin,0.4855524968000431
pressone,0.4851521721680324
primulon,0.48473712908741323
philosopher stones,0.48404515596656555
solaris,0.48393160269721
vpncoin,0.4839137945297267
uniform fiscal object,0.48382922820232255
anarchistsprime,0.48355603886752385
hodlcoin,0.4830571009557005
revain,0.4826164500127699
advanced internet blocks,0.4820149285631151
royalties,0.4819159350574515
bitcurrency,0.48162880803920316
coinonatx,0.481591032544511
bancor,0.4815885895526844
quantum resistant ledger,0.48130342489152267
chronobank,0.4809807241219041
virta unique coin,0.48052070341047143
obsidian,0.48023935427182984
blackmoon,0.480058501460273
crowdcoin,0.47994282912465186
gpu coin,0.479554420491661
postoken,0.47939258167153254
sumokoin,0.4793622991060501
aeron,0.47925763603381
bitradio,0.4792379408171252
fujicoin,0.47921045457674827
kekcoin,0.47920889044152754
ultimate secure cash,0.4788346437313704
gamecredits,0.4788305613642162
experience points,0.47873512503065896
bitcoal,0.47865847565487635
diamond,0.47837480794498244
ins ecosystem,0.4782353250710481
colossuscoinxt,0.47821621121100544
santiment network token,0.4780019754911718
theresa may coin,0.47799867706358723
