,commits,contributors,github_rank,created_date,language,top_contrib,updated_date,watchers
0x,3054,15,4,2017/05/23,TypeScript,LogvinovLeon,2018/02/01,350
accelerator network,12,2,380,2017/09/19,JavaScript,acceleratornetwork,2017/11/12,1
acchain,24,3,313,2017/07/14,C++,iliaselmatani,2018/01/04,13
ace,10,1,392,2017/09/10,JavaScript,alerdenisov,2017/11/01,7
achain,120,6,160,2017/09/07,C++,meenxio,2018/01/31,100
adex,233,4,111,2017/08/11,JavaScript,Ivshti,2018/01/31,40
adshares,219,2,119,2016/12/13,Objective-C,picostocks,2018/01/11,8
advanced internet blocks,23,3,316,2017/12/16,C++,jingfei05,2018/01/20,5
aelf,227,11,115,2017/11/25,C#,xtaci,2018/02/01,207
aeon,44,16,243,2014/06/06,C++,iamsmooth,2018/01/30,223
aerium,30,1,285,2017/11/11,C,aeriumcoin,2018/01/15,4
aeron,10,2,398,2017/08/12,,aeronaero,2018/01/09,14
aeternity,898,20,41,2017/08/09,Erlang,lucafavatella,2018/02/01,296
agoras tokens,1,2,555,2015/04/01,C++,naturalog,2018/01/18,80
aidos kuneen,21,2,329,2017/05/19,Java,Nos-Manus,2018/01/30,8
aigang,82,3,189,2017/06/05,JavaScript,lukaskai,2018/01/29,21
aion,10,1,393,2017/07/28,,aion-developer,2018/01/23,2
airswap,5,2,453,2017/10/05,JavaScript,dmosites,2018/01/26,19
alis,173,3,137,2017/07/27,JavaScript,sot528,2018/02/01,33
allion,5,1,454,2017/04/04,C++,EpyxZ,2017/07/02,1
allsafe,6,1,449,2017/06/16,C++,Securitybank,2017/12/28,1
alqo,15,2,357,2017/11/01,C++,ALQOCRYPTO,2018/01/29,13
ambrosus,211,6,122,2017/04/12,JavaScript,vanruch,2018/01/28,43
amsterdamcoin,155,100,147,2017/07/19,C++,laanwj,2017/11/21,2
anarchistsprime,7,1,428,2017/08/23,C++,AnarchistsPrime,2017/12/15,3
anoncoin,9,100,402,2017/10/29,C++,laanwj,2018/01/27,10
antimatter,1,1,569,2017/06/13,C++,pirateblocks,2018/01/22,1
appcoins,214,5,120,2017/10/16,Java,FredericoSantinho,2018/02/01,50
aquariuscoin,1,100,575,2016/12/24,C++,laanwj,2017/06/04,2
aragon,36,6,265,2017/03/01,JavaScript,bpierre,2018/02/01,291
arcticcoin,1,2,562,2016/08/22,C++,DenisZagvozkin,2018/01/30,20
argentum,6,2,443,2017/11/13,JavaScript,magmahindenburg,2017/12/21,1
ark,688,39,62,2016/11/13,JavaScript,luciorubeens,2018/01/30,186
asch,239,13,110,2016/09/01,JavaScript,sqfasd,2018/01/31,303
atlant,7,2,424,2017/10/03,JavaScript,varsize,2018/01/29,10
atmchain,122,1,158,2017/09/29,C,leo-xinwang,2018/01/26,5
atn,34,1,270,2017/12/20,JavaScript,HuJingwei,2018/01/26,2
audiocoin,8,10,420,2015/01/13,C++,billotronic,2018/01/04,3
augur,1633,22,11,2014/12/06,TypeScript,joeykrug,2018/02/01,345
aware,47,1,236,2017/12/08,HTML,ikingqu,2017/12/24,1
bancor,773,7,57,2017/02/15,JavaScript,barakman,2018/01/31,349
bankex,39,2,257,2017/11/10,JavaScript,skywinder,2018/01/31,165
basic attention token,29,4,289,2017/03/16,TeX,locklin,2018/01/28,112
bata,354,4,91,2015/05/11,C++,JustinPercy,2017/12/16,5
bean cash,66,3,208,2015/02/24,C++,teambean,2017/11/16,4
berncash,1,2,547,2016/02/20,C,BERNiecoin,2016/11/16,3
biblepay,194,1,127,2017/07/18,C++,biblepay,2018/01/30,15
bigup,1,1,541,2016/02/19,C++,BigUps,2018/01/09,1
billionaire token,106,1,176,2017/10/14,Python,gluedog,2017/10/16,0
binance coin,845,100,48,2017/11/24,C++,laanwj,2018/01/30,1
birds,2,1,513,2017/07/21,C++,Birdsdev,2017/07/21,0
bismuth,1154,10,25,2015/07/23,Python,hclivess,2018/01/31,94
bitasean,33,6,279,2017/04/22,C++,ByteCodeTeam,2017/09/02,3
bitboost,1,1,565,2017/09/22,,kilazi,2017/10/25,1
bitcedi,4,1,460,2016/05/14,C++,lulworm,2018/01/05,1
bitcloud,33,2,276,2017/08/15,C++,limxdev,2018/01/30,13
bitcoal,4,1,469,2017/11/07,,bitcoal,2018/01/19,3
bitcoin,1669,100,9,2010/12/19,C++,laanwj,2018/02/01,26882
bitcoin cash,1075,100,29,2017/05/01,C++,laanwj,2018/02/01,482
bitcoin diamond,36,3,268,2017/12/20,C++,007pig,2018/01/31,65
